187537	55090	1	81
209969	3194	1	775
187537	54931	1	345
187537	150736	1	14873
203731	63613	1	33
187537	151442	1	173
204243	3642	1	1230
203731	64319	1	63
209969	3737	1	3096
204243	3995	1	100
203731	64158	1	4
209969	162	1	5549
203731	62629	1	17
204243	416	1	107985
187537	147881	1	139
187537	56298	1	6388
93330	31	0	696
187537	55464	1	357
209969	577	1	3051
203731	63046	1	27
204243	835	1	378
187537	148203	1	11944
203731	63463	1	6
204243	738	1	8226
209969	992	1	65
187537	37276	1	5224
187537	134111	1	7401
203731	49010	1	33
187537	133758	1	224
176776	0	0	30726
187537	73905	1	2321
114036	7	0	108
187537	133436	1	2959
187537	133277	1	614
197671	4968	1	949754
187537	170423	1	12050
188086	21683	1	2416
187537	110650	1	19230
196645	737	1	29
187537	597	1	43889
187537	111003	1	111861
203731	11451	1	24
187537	170006	1	5813
203731	12281	1	22
174705	3	0	226543
187537	170836	1	27029
187537	279	1	29329
196645	419	1	7492
187537	170741	1	10047
203731	26317	1	27
187537	18467	1	130
199137	0	0	78
187537	18818	1	55
203731	25646	1	39
187537	19297	1	148
187537	129199	1	8808
197671	5373	1	899408
187537	134920	1	7609
187537	134825	1	6993
203731	47620	1	79
197671	5468	1	202133
187537	74854	1	22596
197671	5662	1	3262468
187537	134635	1	1299
202459	0	0	130238
197671	6079	1	9344194
187537	75207	1	79978
184183	0	0	17
209969	1141	1	731
187537	148703	1	16914
187537	148862	1	12304
203731	61907	1	4
204243	1238	1	2
209969	1492	1	150
187537	149052	1	198
204243	1940	1	1003
204243	1589	1	9273
209969	1847	1	175
187537	130874	1	3160
187537	19700	1	330
187537	130715	1	7114
187537	130521	1	27
187537	130168	1	45
194421	1117	1	24367
187537	171360	1	5312
191840	4631	1	3369
187544	29099	1	4974
187537	111853	1	47
188086	20580	1	4683
196645	1590	1	3
187537	1666	1	163899
196645	1943	1	168561
187544	28682	1	192
187537	171201	1	12223
203731	10348	1	184
187537	171907	1	11804
191840	4340	1	2699
187537	112142	1	9005
187537	1472	1	89516
196645	1237	1	813830
187537	1121	1	373223
188086	21286	1	9749
203731	10895	1	63
191840	4437	1	1429
187537	171554	1	4662
187544	28478	1	847
187537	109176	1	2481
187537	6582	1	18788
191840	3202	1	1
187537	164853	1	6100
187537	164436	1	7042
191840	3363	1	16359
203731	14073	1	12
187537	109529	1	216
188086	20304	1	7216
187537	6167	1	29582
187544	28319	1	60496
92673	0	0	1
187537	108699	1	8812
187544	28125	1	6879
201876	91	0	2
187537	164118	1	3642
191840	3681	1	85
187537	164023	1	7791
191840	4032	1	149214
187537	108858	1	78
187537	6900	1	17893
192723	30	0	10829
187544	9449	1	148
187537	122894	1	5276
187537	21440	1	175
187544	9544	1	4827
187537	123724	1	9678
187537	20610	1	2201
201908	3210	1	190
187537	123629	1	3456
187537	20771	1	110230
187537	154186	1	3410
187537	49161	1	290
187537	154603	1	4468
203731	61254	1	30
187537	153769	1	1608
203731	60420	1	3
187537	49898	1	10279
187537	49995	1	1460
203731	60837	1	6
187537	153864	1	2397
187537	135581	1	14993
197671	2664	1	23218
198138	0	0	13191
187537	136062	1	32318
187537	35133	1	4139
187537	34972	1	94315
187537	124280	1	16493
203731	30808	1	12
203731	31225	1	1
201908	2847	1	3432
187544	8607	1	42
187537	22295	1	4414
187537	124121	1	177
208944	23	0	76
201908	2556	1	594
187537	22004	1	1153
187537	124474	1	5889
187544	9084	1	1
187544	27625	1	19
187537	165666	1	26316
191840	2133	1	248
203731	12846	1	71
191840	2548	1	251
187537	165507	1	84213
187537	110350	1	132028
215867	5	0	451
187537	8066	1	11967
187537	109644	1	5
203731	12652	1	8
187537	165313	1	14117
191840	2742	1	585
187537	164960	1	23664
191840	2839	1	6
187537	7715	1	6669
187537	110061	1	22915
187544	26795	1	152
187537	136522	1	2572
203731	41447	1	108
187537	136427	1	678
187537	36330	1	2127
187537	136712	1	15077
187537	155293	1	8
197177	3	0	828
203731	59952	1	6
187537	50398	1	2468
202893	24	0	15028
203731	60305	1	96
187537	155452	1	5857
187537	154750	1	4799
187537	155103	1	1185
203731	59762	1	3
187537	51623	1	265
203731	59209	1	23
203731	59112	1	5
204243	5101	1	79
187537	51206	1	6537
216080	9	0	3716
187537	151815	1	5039
203731	58794	1	1
204243	4271	1	115
204243	4366	1	1565
187537	137267	1	565
208303	0	0	253
187537	33745	1	2403
113938	258	0	36
188981	4	0	8863
187537	32915	1	3576
187537	137936	1	6593
187537	138097	1	2319
187537	78588	1	257
187537	33074	1	1362
187537	166491	1	21752
191840	1324	1	1215
170627	1286	0	21
187544	26256	1	1894
187537	107478	1	4105
187537	4120	1	25259
196645	4365	1	2491
82257	0	0	27
170627	1191	0	21
187544	26417	1	17
191840	1165	1	198
168905	0	0	466
187537	166906	1	39091
203731	15381	1	14
187537	106805	1	318134
196645	5102	1	5908
130732	52	0	33602034
187544	25715	1	2
170627	1604	0	3
187544	26066	1	1494
187537	4954	1	73677
196645	4687	1	1625
188086	17437	1	953
