187537	146299	210
204243	3593	58
187537	147755	337
187537	162819	6537
187537	159430	10122
187537	136342	661
197671	9336	7850
197671	6480	40572
187537	173902	16
187537	170598	1348
197671	10260	2415
197671	5436	8525757
187537	169482	1403963
204243	4256	433
187537	140754	693
187537	145175	424
204243	613	13051
187537	150855	3804
187537	159855	14691
187537	165071	878
197671	2041	39260
197671	8027	1842
187537	171117	2148
187537	172357	470
187537	153061	1962
209969	379	1145
187537	157901	176
187537	146800	319
187537	131160	206
187537	162312	813589
187537	149280	734
187537	177024	436
187537	167592	341
197671	12470	99
196645	4068	8276
204395	444	2
196645	2543	4507
216020	18	104
203731	51475	4
203731	62523	18
187537	102612	918
203731	155	98523
187537	110076	16
187544	19980	666
191840	4774	11
203731	15795	4
187537	120748	7691
187537	125572	2073
187544	7089	6
187537	129089	420
203731	21798	2
188086	21613	264
187537	114489	2997
203731	56278	4
187537	68833	513
203731	47396	13
203731	33804	1
187544	17515	5
187537	105139	4955
203731	28844	33
187537	123107	46704
187537	118542	1003
187537	127526	802
203731	6201	3
191840	2564	1253
187537	111966	14573
203731	9489	9
164914	2951	17
203731	44001	4
203731	39589	12
188086	21094	1977
187537	130634	486
187544	26602	4
107481	2	39551
187537	112946	14691
203731	10621	16
203731	1680	3
187544	3967	22
187537	119207	1
93646	187	518
187537	75015	151
187537	71727	495
91205	12	17220
187537	65677	30
203731	37058	5
187537	128045	790
203731	22858	71
187537	116997	21344
191840	3087	2
187537	111445	24
187537	102013	8260
85794	0	1160
187537	106896	7384
187544	16992	301
216066	103	53
187537	70216	54
84298	19	8
187537	17101	12
187537	1461	51265
187537	14493	21
187537	61717	202
187537	35653	1561
187537	46701	1126
187537	39296	4285
187537	10840	279
153678192	0	1
187537	20488	41
187537	30082	891
187537	13050	82
187537	4050	559
130732	8	37307
187537	50778	347
187537	37863	292
196325	430	337
187537	8255	354
206981	1	88
209276	0	854088
187537	23151	146
160947	50	2488
215679	96	62
187537	22019	6785
187537	27435	1489
187537	63262	82
193488	3	1
187537	36174	16
187537	31214	1077
187537	958	32206
211817	0	88
187537	23652	8
187537	61372	3808
187537	49233	457
209508	0	52
196791	10	1
187537	29577	5970
187537	2521	282
187537	13553	513
209441	0	5962
196645	3183	555
102878	526	582
196645	5325	2
204395	567	316
196645	2660	23155
194421	148	110891
196645	3	10
187537	164175	966
187537	161263	8417
187537	149703	212
204243	2021	1
187537	144023	1778
187537	135103	15
187537	139346	159
187537	154114	786
209969	3740	22
187537	157482	838
187537	168842	1357
187537	175778	4998
197671	11668	1439
148097	5	6
197671	13622	356
187537	166696	3036
187537	177664	1481
187537	148128	18983
187537	163720	1253
